Line, Real Answer, Parser Answer

1,    1.0 , 1.0

2,    -1.0 , -1.0

3,    1.0 , 1.0

4,    -1.0 , -1.0

5,    2.0 , 2.0

6,    0.0 , 0.0

7,    4.0 , 4.0

8,    1.0 , 1.0

9,    1.0 , 1.0

10,    8.0 , 8.0

11,    10.0 , 10.0

12,    50.0 , 50.0

13,    5.0 , 5.0

14,    129.6418 , 129.6418

15,    43.0 , 43.0

16,    36.462 , 36.462

17,    3721.06 , 3721.06

18,    0.0156 , 0.0156

19,    -4.0 , -4.0

20,    4.0 , 4.0

21,    10.25 , 10.25

22,    1307.2165 , 1307.2165

23,    -180624.0 , -180624.0

24,    -112.0 , -112.0

25,    0.8409 , 0.8409

26,    512.0 , 512.0

